7079,2024-05-19,7079,233,Sunday,May,2024,2024-May,19,140,20,2024-W20,2024-05-19,20,2024-W20,2024-05-13,Non-Holiday,Weekend
7080,2024-05-20,7080,233,Monday,May,2024,2024-May,20,141,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekday
7081,2024-05-21,7081,233,Tuesday,May,2024,2024-May,21,142,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekday
7082,2024-05-22,7082,233,Wednesday,May,2024,2024-May,22,143,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekday
7083,2024-05-23,7083,233,Thursday,May,2024,2024-May,23,144,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekday
7084,2024-05-24,7084,233,Friday,May,2024,2024-May,24,145,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekday
7085,2024-05-25,7085,233,Saturday,May,2024,2024-May,25,146,20,2024-W20,2024-05-19,21,2024-W21,2024-05-20,Non-Holiday,Weekend
7086,2024-05-26,7086,233,Sunday,May,2024,2024-May,26,147,21,2024-W21,2024-05-26,21,2024-W21,2024-05-20,Non-Holiday,Weekend
7087,2024-05-27,7087,233,Monday,May,2024,2024-May,27,148,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekday
7088,2024-05-28,7088,233,Tuesday,May,2024,2024-May,28,149,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekday
7089,2024-05-29,7089,233,Wednesday,May,2024,2024-May,29,150,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekday
7090,2024-05-30,7090,233,Thursday,May,2024,2024-May,30,151,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekday
7091,2024-05-31,7091,233,Friday,May,2024,2024-May,31,152,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekday
7092,2024-06-01,7092,234,Saturday,June,2024,2024-Jun,1,153,21,2024-W21,2024-05-26,22,2024-W22,2024-05-27,Non-Holiday,Weekend
7093,2024-06-02,7093,234,Sunday,June,2024,2024-Jun,2,154,22,2024-W22,2024-06-02,22,2024-W22,2024-05-27,Non-Holiday,Weekend
7094,2024-06-03,7094,234,Monday,June,2024,2024-Jun,3,155,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekday
7095,2024-06-04,7095,234,Tuesday,June,2024,2024-Jun,4,156,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekday
7096,2024-06-05,7096,234,Wednesday,June,2024,2024-Jun,5,157,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekday
7097,2024-06-06,7097,234,Thursday,June,2024,2024-Jun,6,158,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekday
7098,2024-06-07,7098,234,Friday,June,2024,2024-Jun,7,159,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekday
7099,2024-06-08,7099,234,Saturday,June,2024,2024-Jun,8,160,22,2024-W22,2024-06-02,23,2024-W23,2024-06-03,Non-Holiday,Weekend
7100,2024-06-09,7100,234,Sunday,June,2024,2024-Jun,9,161,23,2024-W23,2024-06-09,23,2024-W23,2024-06-03,Non-Holiday,Weekend
7101,2024-06-10,7101,234,Monday,June,2024,2024-Jun,10,162,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekday
7102,2024-06-11,7102,234,Tuesday,June,2024,2024-Jun,11,163,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekday
7103,2024-06-12,7103,234,Wednesday,June,2024,2024-Jun,12,164,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekday
7104,2024-06-13,7104,234,Thursday,June,2024,2024-Jun,13,165,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekday
7105,2024-06-14,7105,234,Friday,June,2024,2024-Jun,14,166,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekday
7106,2024-06-15,7106,234,Saturday,June,2024,2024-Jun,15,167,23,2024-W23,2024-06-09,24,2024-W24,2024-06-10,Non-Holiday,Weekend
7107,2024-06-16,7107,234,Sunday,June,2024,2024-Jun,16,168,24,2024-W24,2024-06-16,24,2024-W24,2024-06-10,Non-Holiday,Weekend
7108,2024-06-17,7108,234,Monday,June,2024,2024-Jun,17,169,24,2024-W24,2024-06-16,25,2024-W25,2024-06-17,Non-Holiday,Weekday
7109,2024-06-18,7109,234,Tuesday,June,2024,2024-Jun,18,170,24,2024-W24,2024-06-16,25,2024-W25,2024-06-17,Non-Holiday,Weekday
7110,2024-06-19,7110,234,Wednesday,June,2024,2024-Jun,19,171,24,2024-W24,2024-06-16,25,2024-W25,2024-06-17,Non-Holiday,Weekday
7111,2024-06-20,7111,234,Thursday,June,2024,2024-Jun,20,172,24,2024-W24,2024-06-16,25,2024-W25,2024-06-17,Non-Holiday,Weekday
7112,2024-06-21,7112,234,Friday,June,2024,2024-Jun,21,173,24,2024-W24,2024-06-16,25,2024-W25,2024-06-17,Non-Holiday,Weekday
